task_id,model,condition,strategy,sample_id,passed,max_char_similarity,max_token_jaccard,distance_to_gold,distance_to_distractor,snippet_functions_called,n_distractor_specific_markers,distractor_specific_literals,distractor_specific_functions
fluxon_l1_005,LongCat-2.0,distractor,standard,0,False,0.654,0.500,0.579,0.346,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_005,LongCat-2.0,distractor,standard,1,False,0.587,0.581,0.757,0.413,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_005,LongCat-2.0,distractor,standard,2,False,0.521,0.542,0.718,0.479,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_005,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.654,0.500,0.579,0.346,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_005,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.544,0.519,0.590,0.456,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_006,LongCat-2.0,distractor,standard,0,False,0.574,0.452,0.648,0.426,0,1,"[""'ver'""]",[]
fluxon_l1_006,LongCat-2.0,distractor,standard,1,False,0.035,0.333,0.922,0.965,0,2,"[""'ver'"", '3']",[]
fluxon_l1_006,LongCat-2.0,distractor,standard,2,False,0.383,0.362,0.714,0.617,1,5,"[""'Return True for every packet if any packet is valid (composition bug).'"", ""'Validate but allow empty payload for version 3 instead of version 1.'"", ""'ver'"", '3']",['validate_fluxon_packet_empty_v3']
fluxon_l1_006,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.574,0.452,0.648,0.426,0,1,"[""'ver'""]",[]
fluxon_l1_008,LongCat-2.0,distractor,standard,0,False,0.144,0.171,0.901,0.856,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l1_008,LongCat-2.0,distractor,standard,1,False,0.074,0.221,0.894,0.926,0,2,"[""'ver'"", '3']",[]
fluxon_l1_008,LongCat-2.0,distractor,standard,2,False,0.144,0.171,0.901,0.856,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l1_008,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.192,0.292,0.855,0.808,0,2,"[""'ver'"", '3']",[]
fluxon_l1_008,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.628,0.476,0.532,0.372,0,2,"[""'ver'"", '3']",[]
fluxon_l1_009,LongCat-2.0,distractor,standard,0,False,0.125,0.184,0.930,0.875,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l1_009,LongCat-2.0,distractor,standard,1,False,0.144,0.171,0.901,0.856,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l1_009,LongCat-2.0,distractor,standard,2,False,0.656,0.525,0.536,0.344,0,2,"[""'ver'"", '3']",[]
fluxon_l1_009,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.364,0.357,0.593,0.636,0,1,"[""'ver'""]",[]
fluxon_l1_009,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.621,0.425,0.605,0.379,0,1,"[""'ver'""]",[]
fluxon_l1_010,LongCat-2.0,distractor,standard,0,False,0.578,0.476,0.657,0.422,0,1,"[""'ver'""]",[]
fluxon_l1_010,LongCat-2.0,distractor,standard,1,False,0.144,0.171,0.901,0.856,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l1_010,LongCat-2.0,distractor,standard,2,False,0.528,0.457,0.662,0.472,0,1,"[""'ver'""]",[]
fluxon_l1_010,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.361,0.357,0.600,0.639,0,1,"[""'ver'""]",[]
fluxon_l1_010,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.620,0.425,0.612,0.380,0,1,"[""'ver'""]",[]
fluxon_l1_024,LongCat-2.0,distractor,standard,1,False,0.711,0.660,0.623,0.289,0,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", ""'ver'"", '1']",[]
fluxon_l1_026,LongCat-2.0,distractor,standard,1,False,0.462,0.375,0.576,0.538,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l1_026,LongCat-2.0,distractor,standard,2,False,0.727,0.636,0.688,0.273,2,11,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'"", ""'ver'""]","['is_legacy_packet_inverted', 'parse_fluxon_packet_wrong_key']"
fluxon_l1_026,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.395,0.415,0.730,0.605,0,1,"[""'Invalid Fluxon packet format: '""]",[]
fluxon_l1_026,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.446,0.452,0.835,0.554,0,1,"[""'Invalid Fluxon packet format: '""]",[]
fluxon_l1_027,LongCat-2.0,distractor,standard,0,False,0.733,0.625,0.685,0.267,2,11,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'"", ""'ver'""]","['is_legacy_packet_inverted', 'parse_fluxon_packet_wrong_key']"
fluxon_l1_027,LongCat-2.0,distractor,standard,2,False,0.462,0.375,0.576,0.538,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l1_027,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.788,0.549,0.877,0.212,0,6,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_027,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.788,0.549,0.877,0.212,0,6,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_028,LongCat-2.0,distractor,standard,0,False,0.670,0.538,0.717,0.330,2,11,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'"", ""'ver'""]","['is_legacy_packet_inverted', 'parse_fluxon_packet_wrong_key']"
fluxon_l1_028,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.674,0.467,0.668,0.326,0,7,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_028,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.674,0.467,0.668,0.326,0,7,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_029,LongCat-2.0,distractor,standard,0,False,0.518,0.481,0.553,0.482,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l1_029,LongCat-2.0,distractor,standard,2,False,0.462,0.375,0.576,0.538,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l1_029,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.791,0.549,0.877,0.209,0,6,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_029,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.446,0.452,0.835,0.554,0,1,"[""'Invalid Fluxon packet format: '""]",[]
fluxon_l1_030,LongCat-2.0,distractor,standard,1,False,0.747,0.622,0.931,0.253,2,9,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'"", ""'ver'""]","['is_legacy_packet_inverted', 'parse_fluxon_packet_wrong_key']"
fluxon_l1_030,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.387,0.423,0.786,0.613,0,1,"[""'Invalid Fluxon packet format: '""]",[]
fluxon_l1_030,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.678,0.467,0.665,0.322,0,7,"[""'-'"", ""'Invalid Fluxon packet format: '"", ""'Return True for every version except version 1 (inverted logic).'"", ""'channel'"", ""'checksum'"", ""'payload'"", ""'tokens'""]",[]
fluxon_l1_031,LongCat-2.0,distractor,standard,1,False,0.244,0.273,0.757,0.756,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_031,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.743,0.615,0.617,0.257,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_031,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.743,0.615,0.617,0.257,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_032,LongCat-2.0,distractor,standard,2,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_032,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.743,0.615,0.617,0.257,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_032,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.720,0.548,0.599,0.280,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_033,LongCat-2.0,distractor,standard,0,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_033,LongCat-2.0,distractor,standard,1,False,0.179,0.188,0.897,0.821,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_033,LongCat-2.0,distractor,standard,2,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_033,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.717,0.531,0.739,0.283,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_033,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_034,LongCat-2.0,distractor,standard,1,False,0.177,0.194,0.892,0.823,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_034,LongCat-2.0,distractor,standard,2,False,0.743,0.615,0.617,0.257,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_034,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.710,0.516,0.613,0.290,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_034,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.710,0.516,0.613,0.290,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_035,LongCat-2.0,distractor,standard,0,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_035,LongCat-2.0,distractor,standard,1,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_035,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.188,0.192,0.872,0.812,1,1,[],['decode_fluxon_frame_strip_brackets']
fluxon_l1_035,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.766,0.531,0.567,0.234,0,3,"[""'['"", ""']'"", '1']",[]
fluxon_l1_036,LongCat-2.0,distractor,standard,0,False,0.503,0.714,0.846,0.497,1,4,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", '2']",['token_value_digit_only']
fluxon_l1_036,LongCat-2.0,distractor,standard,1,False,0.635,0.652,0.784,0.365,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_036,LongCat-2.0,distractor,standard,2,False,0.144,0.278,0.857,0.856,1,1,[],['token_value_digit_only']
fluxon_l1_036,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.583,0.512,0.810,0.417,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_036,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.583,0.512,0.810,0.417,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_037,LongCat-2.0,distractor,standard,0,False,0.536,0.569,0.815,0.464,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_037,LongCat-2.0,distractor,standard,1,False,0.666,0.732,0.845,0.334,1,4,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", '2']",['token_value_digit_only']
fluxon_l1_037,LongCat-2.0,distractor,standard,2,False,0.592,0.630,0.797,0.408,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_037,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.599,0.537,0.793,0.401,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_037,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.599,0.537,0.793,0.401,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_038,LongCat-2.0,distractor,standard,0,False,0.621,0.638,0.789,0.379,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_038,LongCat-2.0,distractor,standard,1,False,0.597,0.638,0.797,0.403,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_038,LongCat-2.0,distractor,standard,2,False,0.144,0.278,0.857,0.856,1,1,[],['token_value_digit_only']
fluxon_l1_038,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.602,0.550,0.806,0.398,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_039,LongCat-2.0,distractor,standard,0,False,0.144,0.278,0.857,0.856,1,1,[],['token_value_digit_only']
fluxon_l1_039,LongCat-2.0,distractor,standard,1,False,0.314,0.359,0.841,0.686,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_039,LongCat-2.0,distractor,standard,2,False,0.594,0.617,0.796,0.406,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_039,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.583,0.524,0.824,0.417,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_040,LongCat-2.0,distractor,standard,0,False,0.621,0.638,0.789,0.379,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_040,LongCat-2.0,distractor,standard,1,False,0.621,0.638,0.789,0.379,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_040,LongCat-2.0,distractor,standard,2,False,0.597,0.638,0.797,0.403,1,5,"[""'ABCDEFG'"", ""'Convert a token using only the digit (ignores the letter).'"", ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", '2']",['token_value_digit_only']
fluxon_l1_040,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.596,0.537,0.808,0.404,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_040,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.600,0.583,0.839,0.400,0,2,"[""'ABCDEFG'"", '2']",[]
fluxon_l1_041,LongCat-2.0,distractor,standard,1,False,0.744,0.731,0.780,0.256,1,6,"[""'Normalize with alpha and beta swapped (wrong branch).'"", ""'alpha'"", ""'beta'"", '10.0', '100.0']",['normalize_channel_value_swapped']
fluxon_l1_043,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.766,0.600,0.809,0.234,0,4,"[""'alpha'"", ""'beta'"", '10.0', '100.0']",[]
fluxon_l1_047,LongCat-2.0,distractor,standard,1,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_047,LongCat-2.0,distractor,standard,2,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_047,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_047,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_048,LongCat-2.0,distractor,standard,2,False,0.137,0.143,0.952,0.863,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_048,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.703,0.529,0.778,0.297,0,1,"[""'FXN::'""]",[]
fluxon_l1_048,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.726,0.464,0.790,0.274,0,1,"[""'FXN::'""]",[]
fluxon_l1_049,LongCat-2.0,distractor,standard,1,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_049,LongCat-2.0,distractor,standard,2,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_049,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_049,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.112,0.139,0.949,0.888,1,1,[],['repair_fluxon_packet_no_checksum']
fluxon_l1_050,LongCat-2.0,distractor,standard,0,False,0.758,0.565,0.809,0.242,0,1,"[""'FXN::'""]",[]
fluxon_l1_050,LongCat-2.0,distractor,standard,2,False,0.758,0.565,0.809,0.242,0,1,"[""'FXN::'""]",[]
fluxon_l1_050,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.728,0.500,0.794,0.272,0,1,"[""'FXN::'""]",[]
fluxon_l1_050,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.736,0.509,0.765,0.264,0,1,"[""'FXN::'""]",[]
fluxon_l2_001,LongCat-2.0,distractor,standard,1,False,0.635,0.473,0.606,0.365,1,3,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_001,LongCat-2.0,distractor,standard,2,False,0.653,0.530,0.597,0.347,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'"", '3']",['parse_fluxon_packet_wrong_key']
fluxon_l2_002,LongCat-2.0,distractor,standard,0,False,0.664,0.507,0.592,0.336,1,3,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_002,LongCat-2.0,distractor,standard,1,False,0.661,0.493,0.594,0.339,1,3,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_002,LongCat-2.0,distractor,standard,2,False,0.453,0.382,0.734,0.547,0,1,['3'],[]
fluxon_l2_003,LongCat-2.0,distractor,standard,0,False,0.134,0.171,0.884,0.866,1,1,[],['validate_fluxon_packet_empty_v3']
fluxon_l2_003,LongCat-2.0,distractor,standard,1,False,0.564,0.417,0.623,0.436,1,5,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", ""'ver'"", '3']",['parse_fluxon_packet_wrong_key']
fluxon_l2_003,LongCat-2.0,distractor,standard,2,False,0.468,0.372,0.658,0.532,1,3,"[""'ver'"", '3']",['parse_fluxon_packet_wrong_key']
fluxon_l2_003,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.635,0.486,0.606,0.365,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'"", '3']",['parse_fluxon_packet_wrong_key']
fluxon_l2_004,LongCat-2.0,distractor,standard,0,False,0.673,0.493,0.588,0.327,1,3,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_004,LongCat-2.0,distractor,standard,1,False,0.508,0.391,0.626,0.492,0,1,['3'],[]
fluxon_l2_004,LongCat-2.0,distractor,standard,2,False,0.439,0.402,0.692,0.561,1,6,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'Split a Fluxon payload but skip the first token (off-by-one bug).'"", ""'Validate but allow empty payload for version 3 instead of version 1.'"", ""'ver'"", '3']",['parse_fluxon_packet_wrong_key']
fluxon_l2_005,LongCat-2.0,distractor,standard,1,False,0.500,0.500,0.659,0.500,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_006,LongCat-2.0,distractor,standard,0,False,0.571,0.483,0.598,0.429,1,3,"[""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_006,LongCat-2.0,distractor,standard,1,False,0.385,0.447,0.684,0.615,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_006,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.598,0.424,0.548,0.402,0,1,"[""'-'""]",[]
fluxon_l2_006,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.620,0.448,0.561,0.380,0,1,"[""'-'""]",[]
fluxon_l2_007,LongCat-2.0,distractor,standard,0,False,0.680,0.547,0.584,0.320,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_007,LongCat-2.0,distractor,standard,1,False,0.683,0.547,0.583,0.317,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_007,LongCat-2.0,distractor,standard,2,False,0.665,0.547,0.591,0.335,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_007,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.482,0.373,0.600,0.518,0,1,"[""'-'""]",[]
fluxon_l2_008,LongCat-2.0,distractor,standard,0,False,0.448,0.432,0.659,0.552,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_008,LongCat-2.0,distractor,standard,1,False,0.379,0.474,0.707,0.621,1,2,"[""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_008,LongCat-2.0,distractor,standard,2,False,0.537,0.467,0.654,0.463,2,7,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'Validate but allow empty payload for version 3 instead of version 1.'"", ""'ver'"", '3']","['parse_fluxon_packet_wrong_key', 'validate_fluxon_packet_empty_v3']"
fluxon_l2_008,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.533,0.426,0.576,0.467,0,1,"[""'-'""]",[]
fluxon_l2_008,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.533,0.426,0.577,0.467,0,1,"[""'-'""]",[]
fluxon_l2_009,LongCat-2.0,distractor,standard,0,False,0.645,0.547,0.601,0.355,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_009,LongCat-2.0,distractor,standard,1,False,0.656,0.556,0.575,0.344,1,4,"['""Parse a packet but return \'ver\' instead of \'version\' (key mismatch).""', ""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_009,LongCat-2.0,distractor,standard,2,False,0.565,0.431,0.601,0.435,1,3,"[""'-'"", ""'ver'""]",['parse_fluxon_packet_wrong_key']
fluxon_l2_009,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.515,0.384,0.588,0.485,0,1,"[""'-'""]",[]
fluxon_l2_009,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.520,0.389,0.585,0.480,0,1,"[""'-'""]",[]
